schedule_id,aircraft_id,location_id,start_time,end_time,status,instructor_id,student_id
SCH_1,N0001,LOC_3,2024-03-01 13:00:00,2024-03-01 15:00:00,Completed,INST_18,STUD_93
SCH_2,N0001,LOC_1,2024-03-01 14:00:00,2024-03-01 16:00:00,Completed,INST_8,STUD_144
SCH_3,N0001,LOC_3,2024-03-01 16:30:00,2024-03-01 17:30:00,Completed,INST_10,STUD_192
SCH_4,N0001,LOC_1,2024-03-01 16:30:00,2024-03-01 18:30:00,Completed,INST_9,STUD_21
SCH_5,N0002,LOC_2,2024-03-01 07:30:00,2024-03-01 08:30:00,Completed,INST_15,STUD_66
SCH_6,N0002,LOC_3,2024-03-01 13:00:00,2024-03-01 14:30:00,Completed,INST_4,STUD_40
SCH_7,N0002,LOC_3,2024-03-01 06:30:00,2024-03-01 08:30:00,Completed,INST_5,STUD_72
SCH_8,N0002,LOC_2,2024-03-01 08:00:00,2024-03-01 10:00:00,Completed,INST_9,STUD_122
SCH_9,N0002,LOC_3,2024-03-01 06:30:00,2024-03-01 08:30:00,Completed,INST_13,STUD_26
SCH_10,N0003,LOC_1,2024-03-01 16:00:00,2024-03-01 17:00:00,Completed,INST_17,STUD_128
SCH_11,N0003,LOC_2,2024-03-01 18:00:00,2024-03-01 19:00:00,Completed,INST_15,STUD_125
SCH_12,N0003,LOC_1,2024-03-01 18:30:00,2024-03-01 20:00:00,No-Show,INST_3,STUD_117
SCH_13,N0003,LOC_1,2024-03-01 17:30:00,2024-03-01 19:00:00,Completed,INST_3,STUD_97
SCH_14,N0003,LOC_1,2024-03-01 11:30:00,2024-03-01 12:30:00,Canceled,INST_16,STUD_50
SCH_15,N0004,LOC_2,2024-03-01 11:30:00,2024-03-01 13:00:00,Completed,INST_5,STUD_186
SCH_16,N0004,LOC_1,2024-03-01 08:00:00,2024-03-01 09:30:00,Completed,INST_12,STUD_159
SCH_17,N0004,LOC_3,2024-03-01 17:30:00,2024-03-01 19:30:00,Completed,INST_20,STUD_139
SCH_18,N0004,LOC_1,2024-03-01 16:00:00,2024-03-01 17:30:00,Completed,INST_3,STUD_2
SCH_19,N0004,LOC_3,2024-03-01 17:00:00,2024-03-01 19:00:00,Completed,INST_12,STUD_180
SCH_20,N0005,LOC_1,2024-03-01 13:00:00,2024-03-01 15:00:00,Completed,INST_8,STUD_184
SCH_21,N0005,LOC_2,2024-03-01 16:00:00,2024-03-01 18:00:00,Completed,INST_10,STUD_194
SCH_22,N0005,LOC_3,2024-03-01 13:00:00,2024-03-01 15:00:00,Completed,INST_13,STUD_162
SCH_23,N0005,LOC_2,2024-03-01 18:30:00,2024-03-01 20:00:00,Completed,INST_3,STUD_12
SCH_24,N0005,LOC_2,2024-03-01 12:30:00,2024-03-01 13:30:00,Completed,INST_4,STUD_148
SCH_25,N0006,LOC_2,2024-03-01 15:00:00,2024-03-01 16:30:00,Completed,INST_14,STUD_3
SCH_26,N0006,LOC_1,2024-03-01 17:00:00,2024-03-01 18:30:00,Completed,INST_4,STUD_102
SCH_27,N0006,LOC_3,2024-03-01 11:30:00,2024-03-01 12:30:00,Completed,INST_9,STUD_65
SCH_28,N0006,LOC_3,2024-03-01 11:30:00,2024-03-01 13:00:00,Completed,INST_16,STUD_153
SCH_29,N0006,LOC_2,2024-03-01 11:30:00,2024-03-01 13:00:00,Completed,INST_11,STUD_198
SCH_30,N0006,LOC_2,2024-03-01 12:00:00,2024-03-01 13:00:00,Completed,INST_4,STUD_133
SCH_31,N0007,LOC_2,2024-03-01 16:00:00,2024-03-01 18:00:00,Completed,INST_6,STUD_113
SCH_32,N0007,LOC_2,2024-03-01 10:30:00,2024-03-01 12:00:00,Completed,INST_11,STUD_99
SCH_33,N0007,LOC_2,2024-03-01 16:30:00,2024-03-01 18:00:00,Completed,INST_4,STUD_175
SCH_34,N0007,LOC_1,2024-03-01 08:00:00,2024-03-01 09:30:00,Canceled,INST_19,STUD_64
SCH_35,N0007,LOC_1,2024-03-01 16:00:00,2024-03-01 18:00:00,Completed,INST_12,STUD_23
SCH_36,N0007,LOC_3,2024-03-01 07:30:00,2024-03-01 09:30:00,Canceled,INST_11,STUD_135
SCH_37,N0008,LOC_2,2024-03-01 07:30:00,2024-03-01 09:30:00,Completed,INST_19,STUD_32
SCH_38,N0008,LOC_3,2024-03-01 17:30:00,2024-03-01 18:30:00,Completed,INST_17,STUD_113
SCH_39,N0008,LOC_3,2024-03-01 15:30:00,2024-03-01 17:30:00,Completed,INST_18,STUD_76
SCH_40,N0008,LOC_3,2024-03-01 14:30:00,2024-03-01 16:00:00,Completed,INST_19,STUD_63
SCH_41,N0009,LOC_2,2024-03-01 18:30:00,2024-03-01 19:30:00,No-Show,INST_4,STUD_170
SCH_42,N0009,LOC_1,2024-03-01 10:30:00,2024-03-01 12:00:00,Completed,INST_1,STUD_68
SCH_43,N0009,LOC_1,2024-03-01 09:30:00,2024-03-01 10:30:00,Completed,INST_14,STUD_151
SCH_44,N0009,LOC_2,2024-03-01 15:30:00,2024-03-01 17:00:00,Completed,INST_2,STUD_60
SCH_45,N0010,LOC_3,2024-03-01 12:00:00,2024-03-01 13:00:00,Completed,INST_14,STUD_95
SCH_46,N0010,LOC_2,2024-03-01 12:30:00,2024-03-01 14:30:00,Canceled,INST_5,STUD_111
SCH_47,N0010,LOC_3,2024-03-01 12:30:00,2024-03-01 14:30:00,Completed,INST_8,STUD_51
SCH_48,N0010,LOC_3,2024-03-01 06:30:00,2024-03-01 07:30:00,Completed,INST_20,STUD_2
SCH_49,N0010,LOC_1,2024-03-01 11:30:00,2024-03-01 13:30:00,Completed,INST_4,STUD_200
SCH_50,N0010,LOC_2,2024-03-01 15:00:00,2024-03-01 17:00:00,Completed,INST_10,STUD_185
SCH_51,N0001,LOC_1,2024-03-02 14:00:00,2024-03-02 15:00:00,Completed,INST_9,STUD_1
SCH_52,N0001,LOC_2,2024-03-02 07:00:00,2024-03-02 08:00:00,Completed,INST_7,STUD_182
SCH_53,N0001,LOC_1,2024-03-02 07:30:00,2024-03-02 08:30:00,Completed,INST_16,STUD_32
SCH_54,N0001,LOC_1,2024-03-02 17:00:00,2024-03-02 18:30:00,Completed,INST_15,STUD_121
SCH_55,N0002,LOC_3,2024-03-02 13:30:00,2024-03-02 15:00:00,Completed,INST_13,STUD_75
SCH_56,N0002,LOC_3,2024-03-02 18:00:00,2024-03-02 19:00:00,Completed,INST_11,STUD_167
SCH_57,N0002,LOC_3,2024-03-02 13:00:00,2024-03-02 15:00:00,Completed,INST_11,STUD_59
SCH_58,N0002,LOC_2,2024-03-02 08:30:00,2024-03-02 10:00:00,Completed,INST_2,STUD_42
SCH_59,N0002,LOC_2,2024-03-02 09:30:00,2024-03-02 11:30:00,Completed,INST_16,STUD_16
SCH_60,N0003,LOC_3,2024-03-02 07:30:00,2024-03-02 09:30:00,Completed,INST_7,STUD_179
SCH_61,N0003,LOC_2,2024-03-02 12:30:00,2024-03-02 13:30:00,No-Show,INST_10,STUD_38
SCH_62,N0003,LOC_3,2024-03-02 16:30:00,2024-03-02 18:00:00,Completed,INST_3,STUD_102
SCH_63,N0003,LOC_2,2024-03-02 08:30:00,2024-03-02 10:30:00,Completed,INST_11,STUD_179
SCH_64,N0004,LOC_3,2024-03-02 12:00:00,2024-03-02 14:00:00,Canceled,INST_10,STUD_177
SCH_65,N0004,LOC_3,2024-03-02 09:30:00,2024-03-02 11:00:00,Completed,INST_6,STUD_38
SCH_66,N0004,LOC_1,2024-03-02 08:30:00,2024-03-02 09:30:00,Completed,INST_12,STUD_164
SCH_67,N0004,LOC_3,2024-03-02 09:30:00,2024-03-02 11:30:00,Completed,INST_20,STUD_83
SCH_68,N0005,LOC_1,2024-03-02 14:00:00,2024-03-02 16:00:00,Completed,INST_17,STUD_30
SCH_69,N0005,LOC_1,2024-03-02 16:00:00,2024-03-02 17:00:00,Completed,INST_13,STUD_57
SCH_70,N0005,LOC_2,2024-03-02 07:00:00,2024-03-02 09:00:00,Completed,INST_15,STUD_119
SCH_71,N0005,LOC_1,2024-03-02 15:00:00,2024-03-02 17:00:00,Completed,INST_8,STUD_122
SCH_72,N0005,LOC_3,2024-03-02 18:30:00,2024-03-02 19:30:00,Completed,INST_15,STUD_40
SCH_73,N0005,LOC_3,2024-03-02 18:30:00,2024-03-02 20:00:00,Completed,INST_10,STUD_114
SCH_74,N0006,LOC_1,2024-03-02 06:00:00,2024-03-02 07:00:00,Canceled,INST_10,STUD_2
SCH_75,N0006,LOC_2,2024-03-02 15:30:00,2024-03-02 16:30:00,Canceled,INST_11,STUD_58
SCH_76,N0006,LOC_1,2024-03-02 06:00:00,2024-03-02 08:00:00,Completed,INST_3,STUD_14
SCH_77,N0006,LOC_2,2024-03-02 17:00:00,2024-03-02 18:00:00,Canceled,INST_5,STUD_97
SCH_78,N0007,LOC_3,2024-03-02 15:00:00,2024-03-02 16:00:00,Completed,INST_13,STUD_21
SCH_79,N0007,LOC_3,2024-03-02 11:30:00,2024-03-02 12:30:00,Canceled,INST_14,STUD_90
SCH_80,N0007,LOC_1,2024-03-02 14:00:00,2024-03-02 15:00:00,No-Show,INST_7,STUD_60
SCH_81,N0007,LOC_1,2024-03-02 15:30:00,2024-03-02 16:30:00,Completed,INST_10,STUD_116
SCH_82,N0007,LOC_2,2024-03-02 08:30:00,2024-03-02 09:30:00,Completed,INST_2,STUD_82
SCH_83,N0008,LOC_1,2024-03-02 13:00:00,2024-03-02 14:00:00,Completed,INST_16,STUD_68
SCH_84,N0008,LOC_2,2024-03-02 13:00:00,2024-03-02 14:30:00,Completed,INST_16,STUD_198
SCH_85,N0008,LOC_2,2024-03-02 08:00:00,2024-03-02 09:30:00,Completed,INST_4,STUD_117
SCH_86,N0008,LOC_2,2024-03-02 06:00:00,2024-03-02 08:00:00,Completed,INST_8,STUD_125
SCH_87,N0008,LOC_1,2024-03-02 14:00:00,2024-03-02 15:30:00,Completed,INST_15,STUD_17
SCH_88,N0008,LOC_1,2024-03-02 14:00:00,2024-03-02 16:00:00,Completed,INST_3,STUD_89
SCH_89,N0009,LOC_1,2024-03-02 07:00:00,2024-03-02 08:30:00,Completed,INST_20,STUD_140
SCH_90,N0009,LOC_3,2024-03-02 18:00:00,2024-03-02 19:00:00,Completed,INST_10,STUD_37
SCH_91,N0009,LOC_2,2024-03-02 06:00:00,2024-03-02 08:00:00,Completed,INST_19,STUD_28
