student_id,enrollment_date,ground_school_complete,first_flight_date,solo_flight_date,checkride_ready_date,checkride_passed_date,status
STUD_0001,2024-02-10,2024-02-19,2024-02-24,2024-03-08,2024-03-26,2024-03-31,Certified
STUD_0002,2024-02-07,2024-02-12,2024-02-15,2024-02-25,2024-03-16,2024-03-26,Certified
STUD_0003,2024-02-04,2024-02-16,2024-02-22,2024-03-03,2024-03-15,2024-03-25,Certified
STUD_0004,2024-01-28,2024-02-04,2024-02-09,2024-02-29,2024-03-16,2024-03-21,Certified
STUD_0005,2024-01-23,2024-01-28,2024-02-06,2024-02-28,,,Dropped
STUD_0006,2024-01-19,2024-01-29,2024-02-03,2024-02-14,2024-02-28,2024-03-04,Certified
STUD_0007,2024-02-24,2024-03-01,2024-03-09,2024-03-30,2024-04-14,2024-04-20,Certified
STUD_0008,2024-02-12,2024-02-27,2024-03-01,2024-03-16,2024-03-29,2024-04-04,Certified
STUD_0009,2024-01-30,2024-02-14,2024-02-24,2024-03-15,2024-03-25,2024-03-31,Certified
STUD_0010,2024-02-22,2024-03-03,2024-03-11,2024-03-27,2024-04-15,2024-04-25,Certified
STUD_0011,2024-01-21,2024-02-02,2024-02-10,2024-03-05,2024-03-17,2024-03-23,Certified
STUD_0012,2024-02-17,2024-02-26,2024-03-05,2024-03-27,2024-04-08,2024-04-17,Certified
STUD_0013,2024-02-01,2024-02-06,2024-02-09,2024-02-24,2024-03-11,2024-03-20,Certified
STUD_0014,2024-01-05,2024-01-19,2024-01-28,2024-02-07,2024-02-18,2024-02-28,Certified
STUD_0015,2024-02-26,2024-03-06,2024-03-13,,,,Dropped
STUD_0016,2024-01-28,2024-02-02,2024-02-08,2024-02-23,2024-03-05,2024-03-15,Certified
STUD_0017,2024-01-20,2024-01-28,2024-02-01,2024-02-16,2024-03-05,2024-03-10,Certified
STUD_0018,2024-02-08,2024-02-13,2024-02-16,2024-03-06,2024-03-19,2024-03-28,Certified
STUD_0019,2024-03-01,2024-03-13,2024-03-16,2024-03-30,2024-04-16,2024-04-25,Certified
STUD_0020,2024-01-11,2024-01-25,2024-02-02,2024-02-18,2024-03-05,2024-03-15,Certified
STUD_0021,2024-02-11,2024-02-24,2024-03-04,,,,Dropped
STUD_0022,2024-01-15,2024-01-20,2024-01-30,2024-02-16,,,Dropped
STUD_0023,2024-02-15,2024-02-23,2024-02-26,2024-03-17,,,Dropped
STUD_0024,2024-01-16,2024-01-28,2024-02-02,2024-02-27,2024-03-15,2024-03-23,Certified
STUD_0025,2024-01-13,2024-01-28,2024-02-05,2024-02-28,2024-03-09,2024-03-19,Certified
STUD_0026,2024-02-11,,,,,,Dropped
STUD_0027,2024-01-26,2024-02-01,2024-02-06,2024-03-01,2024-03-13,2024-03-20,Certified
STUD_0028,2024-01-30,2024-02-05,2024-02-14,2024-02-27,,,Dropped
STUD_0029,2024-02-04,2024-02-12,2024-02-16,2024-03-12,2024-03-28,2024-04-02,Certified
STUD_0030,2024-01-11,2024-01-22,2024-01-28,2024-02-21,2024-03-10,2024-03-20,Certified
STUD_0031,2024-02-15,2024-02-23,2024-02-29,2024-03-11,2024-03-29,2024-04-03,Certified
STUD_0032,2024-02-17,2024-02-22,2024-03-02,2024-03-17,,,Dropped
